equipment_id,equipment_name,area,equipment_type,criticality,planned_hours,downtime_hours,operating_hours,availability,availability_pct,failure_count,corrective_downtime,total_maintenance_cost,mttr_hours,mtbf_hours,risk_failures,risk_downtime,risk_cost,risk_mttr,risk_availability,risk_mtbf,asset_risk_score
EQ001,Hydraulic Press 01,Stamping,Hydraulic Press,High,7300,189.02,7110.98,0.9741068493150684,97.41,29,189.02,55214.1,6.52,245.21,51.724137931034484,53.29385039753366,54.062840412050036,71.64179104477611,54.9857549857551,82.0182606611318,59.54
EQ002,Hydraulic Press 02,Stamping,Hydraulic Press,High,7300,202.81,7097.19,0.972217808219178,97.22,31,202.81,57531.25,6.54,228.94,58.620689655172406,58.88771702093136,57.74499139907119,72.23880597014926,60.39886039886044,85.56361813863285,64.36
EQ003,Mechanical Press 01,Stamping,Mechanical Press,High,7300,212.31,7087.69,0.9709164383561644,97.09,31,212.31,63879.23,6.85,228.64,58.620689655172406,62.741359727405474,67.83247853740511,81.49253731343283,64.102564102564,85.62899043385414,68.01
EQ004,CNC Machining Center 01,Machining,CNC Machine,High,6570,201.57,6368.43,0.9693196347031964,96.93,27,201.57,55192.53,7.47,235.87,44.827586206896555,58.384715236086315,54.02856382365911,100.0,68.66096866096846,84.05351811902115,65.3
EQ005,CNC Machining Center 02,Machining,CNC Machine,Medium,6570,106.77,6463.2300000000005,0.9837488584474886,98.37,21,106.77,41200.57,5.08,307.77,24.137931034482758,19.929417491481416,31.794133888454102,28.65671641791045,27.63532763532756,68.38595803098647,31.64
EQ006,CNC Lathe 01,Machining,CNC Lathe,Medium,6570,76.16,6493.84,0.9884079147640792,98.84,17,76.16,29202.75,4.48,381.99,10.344827586206897,7.512575044621124,12.728564220930652,10.74626865671643,14.245014245014223,52.2128521932405,16.98
EQ007,Assembly Line 01,Assembly,Assembly Line,High,7300,304.15999999999997,6995.84,0.9583342465753425,95.83,43,304.16,84122.01,7.07,162.69,100.0,100.0,100.0,88.05970149253733,100.0,100.0,98.81
EQ008,Assembly Line 02,Assembly,Assembly Line,Medium,7300,66.39,7233.610000000001,0.9909054794520549,99.09,15,66.39,21192.76,4.43,482.24,3.4482758620689653,3.549407755963004,0.0,9.25373134328357,7.122507122507112,30.36761020679436,8.48
EQ009,Air Compressor 01,Utilities,Screw Compressor,High,8760,181.57,8578.43,0.9792728310502283,97.93,25,181.57,50856.88,7.26,343.14,37.93103448275862,50.27178322245659,47.138842430189456,93.73134328358209,40.170940170940014,60.67856442439694,51.38
EQ010,Air Compressor 02,Utilities,Screw Compressor,Medium,8760,57.64,8702.36,0.993420091324201,99.34,14,57.64,23195.01,4.12,621.6,0.0,0.0,3.1817477564089836,0.0,0.0,0.0,0.32
